timestamp,no error,error 5%,error 10%,error 15%
"01/21/2019, 17:52:00",0.9818724267,0.9923717748,0.9975370355,0.9954988964
"01/21/2019, 17:54:00",0.9839085605,0.9225203706,0.9991667658,0.949422533
"01/21/2019, 17:56:00",0.9384634907,0.9980491995,0.9976828953,0.9995188948
"01/21/2019, 17:58:00",0.9986634801,0.9987787242,0.3223587635,0.948572354
"01/21/2019, 18:00:00",0.9822393947,0.5059280922,0.06720957163,0.4633521571
"01/21/2019, 18:02:00",0.9804347287,0.9545110952,0.9940000745,0.927996128
"01/21/2019, 18:04:00",0.9805166478,0.9951213672,0.9883172499,0.992792136
"01/21/2019, 18:06:00",0.9988135274,0.9582180626,0.9966619328,0.7852133611
"01/21/2019, 18:08:00",0.9951843485,0.9811889619,0.9962827822,0.9987137588
"01/21/2019, 18:10:00",0.9879827034,0.9986072775,0.9985862998,0.9767653622
"01/21/2019, 18:12:00",0.9992639741,0.9985741879,0.999106387,0.9368641828
"01/21/2019, 18:14:00",0.91557435,0.9767337313,0.987673276,0.9980006376
"01/21/2019, 18:16:00",0.9996170523,0.9943037491,0.9476826349,0.9975959236
"01/21/2019, 18:18:00",0.992158075,0.7786556039,0.9619332401,0.9981586503
"01/21/2019, 18:20:00",0.9967809496,0.9891005191,0.9736134372,0.9887542401
"01/21/2019, 18:22:00",0.9808250259,0.9046733837,0.7058180068,0.891527094
"01/21/2019, 18:24:00",0.9895333242,0.9966660544,0.9925265308,0.9828876154
"01/21/2019, 18:26:00",0.9993118363,0.9990268693,0.9597410452,0.9925058648
"01/21/2019, 18:28:00",0.9782942022,0.2181089581,0.5170554452,0.3704694763
"01/21/2019, 18:30:00",0.9935884557,0.9897011617,0.9699925349,0.991775028
"01/21/2019, 18:32:00",0.9993305546,0.9543954726,0.9970299085,0.9906787082
"01/21/2019, 18:34:00",0.9985743714,0.9957155823,0.9966013472,0.9781588288
"01/21/2019, 18:36:00",0.9984332289,0.9942465411,0.9997035449,0.9991991424
"01/21/2019, 18:38:00",0.999483047,0.9802984197,0.9976879935,0.999482516
"01/21/2019, 18:40:00",0.9989635963,0.8122344714,0.9985082691,0.9979205981
"01/21/2019, 18:42:00",0.9975890048,0.9996490798,0.9996659121,0.9952601947
"01/21/2019, 18:44:00",0.9970752816,0.9994449554,0.9919975727,0.9788141913
"01/21/2019, 18:46:00",0.9958232482,0.9794813223,0.990804792,0.9841466391
"01/21/2019, 18:48:00",0.9996848916,0.9993998806,0.9998068996,0.9578633402
"01/21/2019, 18:50:00",0.9678588797,0.9530441153,0.9991163351,0.9203054645
"01/21/2019, 18:52:00",0.959521592,0.949380119,0.9738707345,0.8915979527
"01/21/2019, 18:54:00",0.9901437239,0.998717297,0.9956275366,0.9878960525
"01/21/2019, 18:56:00",0.9962515445,0.9875628161,0.9992150991,0.9978221228
"01/21/2019, 18:58:00",0.9916886241,0.9681079245,0.9985935231,0.9992404011
"01/21/2019, 19:00:00",0.9845046905,0.9969647911,0.995982506,0.9798475796
"01/21/2019, 19:02:00",0.7466738243,0.5903031299,0.9853673413,0.7967632918
"01/21/2019, 19:04:00",0.9622676702,0.9972834911,0.9892015012,0.9911753001
"01/21/2019, 19:06:00",0.9973715693,0.9918142076,0.9553990384,0.9850154424
"01/21/2019, 19:08:00",0.6475205204,0.9041018552,0.9618666979,0.9972074075
"01/21/2019, 19:10:00",0.983804633,0.9931726914,0.9068658285,0.9481583004
"01/21/2019, 19:12:00",0.9990662484,0.9841219612,0.9886534749,0.9955408325
"01/21/2019, 19:14:00",0.9854792821,0.7903367136,0.9859700832,0.9995614509
"01/21/2019, 19:16:00",0.9940072791,0.9997637055,0.9539402422,0.9947440101
"01/21/2019, 19:18:00",0.9991877544,0.935294804,0.8915499534,0.9173021203
"01/21/2019, 19:20:00",0.9935663606,0.9850122642,0.9662299024,0.9982775664
"01/21/2019, 19:22:00",0.9985323257,0.9999801487,0.9998143831,0.9916806511
"01/21/2019, 19:24:00",0.9992817743,0.9962129652,0.9792148552,0.995676207
"01/21/2019, 19:26:00",0.9993094084,0.9979096038,0.9625328179,0.998044641
"01/21/2019, 19:28:00",0.9950877433,0.9990171451,0.9908253908,0.9953167513
"01/21/2019, 19:30:00",0.9890630482,0.9995414323,0.9603227311,0.9966768024
"01/21/2019, 19:32:00",0.9804622435,0.9689007384,0.9836408861,0.9895888347
"01/21/2019, 19:34:00",0.9827158767,0.9860673585,0.9992297094,0.9889078749
"01/21/2019, 19:36:00",0.9437751921,0.9501283449,0.9724537571,0.999539006
"01/21/2019, 19:38:00",0.7381930651,0.3179058331,0.9919851594,0.739680337
"01/21/2019, 19:40:00",0.8929811553,0.9776751441,0.9945396094,0.9722390127
"01/21/2019, 19:42:00",0.9945377275,0.834181187,0.9758607772,0.9975462912
"01/21/2019, 19:44:00",0.9937352329,0.9929062486,0.9936840974,0.9718959797
"01/21/2019, 19:46:00",0.9949080481,0.9919975283,0.9987577184,0.9856098578
"01/21/2019, 19:48:00",0.9873399079,0.9947014181,0.9997234075,0.9988101729
"01/21/2019, 19:50:00",0.9926292888,0.9957938587,0.9826365579,0.997319086
"01/21/2019, 19:52:00",0.9970108009,0.9934507457,0.9998012404,0.8707450744
"01/21/2019, 19:54:00",0.3776748097,0.7734023349,0.4001260583,0.2579518378
"01/21/2019, 19:56:00",0.9980563077,0.9694380555,0.9980130511,0.9818192335
"01/21/2019, 19:58:00",0.9944529175,0.9990705267,0.998549505,0.9947728913
"01/21/2019, 20:00:00",0.9984133431,0.9985150419,0.9993281411,0.9994153143
"01/21/2019, 20:02:00",0.5715042708,0.3450527268,0.9313359901,0.9994925075
"01/21/2019, 20:04:00",0.9872798853,0.9978775331,0.9818354868,0.9978786068
"01/21/2019, 20:06:00",0.998659406,0.9721955812,0.9997087295,0.9789993294
"01/21/2019, 20:08:00",0.2763013167,0.8000783761,0.4760964466,0.999156783
"01/21/2019, 20:10:00",0.9920023628,0.9991249146,0.7059456526,0.9977771756
"01/21/2019, 20:12:00",0.995314773,0.991173233,0.999572321,0.9937785884
"01/21/2019, 20:14:00",0.9977803791,0.9795342254,0.999423081,0.9751879524
