timestamp,no error,5% error,10% error,15% error,15%
"01/21/2019, 17:14:00",0.8993104495,0.8137735682,0.6212050258,0.6398311289,0.906553252
"01/21/2019, 17:16:00",0.6409539369,0.5365973202,0.5265785175,0.6715385954,0.5204498445
"01/21/2019, 17:18:00",0.9819352483,0.9092494158,0.3466940238,0.7811406898,0.9928851455
"01/21/2019, 17:20:00",0.9877256522,0.6831163001,0.4493009079,0.9923961335,0.7092640325
"01/21/2019, 17:22:00",0.9846732066,0.9940430906,0.8575608111,0.9919361661,0.40717062
"01/21/2019, 17:24:00",0.975760351,0.7218769306,0.9639568379,0.9667476611,0.9239817893
"01/21/2019, 17:26:00",0.9224471261,0.9455419753,0.6687972357,0.8046271153,0.7240154309
"01/21/2019, 17:28:00",0.9919060941,0.8877321547,0.3949056877,0.8091191452,0.7522123856
"01/21/2019, 17:30:00",0.9942447599,0.9012169429,0.9878801886,0.7461564762,0.9937102105
"01/21/2019, 17:32:00",0.9959873402,0.9834349878,0.6658626548,0.4113207268,0.2597412486
"01/21/2019, 17:34:00",0.9724760983,0.4983426266,0.7573145667,0.4012483395,0.6605787509
"01/21/2019, 17:36:00",0.7594322051,0.7576248625,0.4151387224,0.7851889266,0.7644470624
"01/21/2019, 17:38:00",0.8396005967,0.689590504,0.6186794364,0.5476816335,0.3670792858
"01/21/2019, 17:40:00",0.9892663451,0.8359365733,0.4715384575,0.7452386831,0.3808758179
"01/21/2019, 17:42:00",0.9765300323,0.6866128551,0.9809370644,0.6941662776,0.5098984171
"01/21/2019, 17:44:00",0.9726685838,0.6233769743,0.7263600109,0.5201132496,0.7234124591
"01/21/2019, 17:46:00",0.9681596423,0.7916532588,0.995027013,0.8098529847,0.9907210185
"01/21/2019, 17:48:00",0.8889062102,0.4668601435,0.4991154907,0.9150138605,0.8458989753
"01/21/2019, 17:50:00",0.9762897931,0.8492333171,0.6113531367,0.5620617842,0.3782210293
"01/21/2019, 17:52:00",0.9913099617,0.9933222036,0.3863611066,0.6416822167,0.8341286287
"01/21/2019, 17:54:00",0.9910872133,0.6656793847,0.3153943662,0.836184835,0.7046144751
"01/21/2019, 17:56:00",0.8883690323,0.8411571944,0.5742378982,0.9452545718,0.9514670793
"01/21/2019, 17:58:00",0.9916445393,0.8694295139,0.5224218077,0.516013609,0.9828288164
"01/21/2019, 18:00:00",0.4876159654,0.836424129,0.9918041764,0.5947064918,0.7273009734
"01/21/2019, 18:02:00",0.9837997162,0.9205920845,0.9080597084,0.5954098616,0.2397625944
"01/21/2019, 18:04:00",0.6716399736,0.9801293322,0.5842747933,0.6702387645,0.3596360565
"01/21/2019, 18:06:00",0.9958177535,0.8028507575,0.6092841392,0.9901639338,0.7442713554
"01/21/2019, 18:08:00",0.9959022486,0.6571049235,0.7330945667,0.9884364952,0.9913536446
"01/21/2019, 18:10:00",0.9684501114,0.8620694236,0.3535835599,0.3169886403,0.5756246571
"01/21/2019, 18:12:00",0.9718322595,0.8759975602,0.6839124452,0.8382075038,0.8296011256
"01/21/2019, 18:14:00",0.9613637173,0.9256735336,0.5917022161,0.6682738915,0.3596801701
"01/21/2019, 18:16:00",0.9878796604,0.5684856631,0.3627507435,0.6753389437,0.8302043235
"01/21/2019, 18:18:00",0.9906760099,0.8795239393,0.6698446952,0.83788429,0.9927136524
"01/21/2019, 18:20:00",0.2143367784,0.5753364019,0.8885613416,0.5918540874,0.6669274424
"01/21/2019, 18:22:00",0.9877015781,0.8869720544,0.9850267298,0.9850354918,0.7426401978
"01/21/2019, 18:24:00",0.8477519588,0.5674650977,0.7003447162,0.720239628,0.8970912469
"01/21/2019, 18:26:00",0.9883131411,0.8427612444,0.6889910298,0.7548708948,0.9873739003
"01/21/2019, 18:28:00",0.9929282348,0.7569143013,0.5028210915,0.7469208122,0.5250916565
"01/21/2019, 18:30:00",0.9925624939,0.7559996572,0.6091274933,0.2366723031,0.9818237346
"01/21/2019, 18:32:00",0.8658784367,0.7364668143,0.6033054806,0.1292553575,0.1887493867
"01/21/2019, 18:34:00",0.9819716612,0.8809692249,0.9901268199,0.4985029436,0.6684363605
"01/21/2019, 18:36:00",0.9904891702,0.4881833852,0.9845582842,0.7893680583,0.7844344703
"01/21/2019, 18:38:00",0.9809188607,0.8144355926,0.8080341259,0.8096473673,0.6000808316
"01/21/2019, 18:40:00",0.9844430236,0.8809773409,0.8355580576,0.9824941767,0.5849009635
"01/21/2019, 18:42:00",0.9414719314,0.7543299558,0.825138741,0.9318636504,0.9454872338
"01/21/2019, 18:44:00",0.9736814013,0.9374149555,0.977373517,0.9909730782,0.9747259561
"01/21/2019, 18:46:00",0.9485964424,0.7255401498,0.9876487884,0.7080260693,0.7991616429
"01/21/2019, 18:48:00",0.9884089738,0.9402255109,0.4490854224,0.9947593211,0.9595935088
"01/21/2019, 18:50:00",0.9835895455,0.8739270105,0.939387538,0.4789563082,0.498167065
"01/21/2019, 18:52:00",0.4704474348,0.7333880164,0.385538075,0.9775564189,0.7765660287
"01/21/2019, 18:54:00",0.9903100841,0.5271475476,0.9249069316,0.5436794184,0.4740739316
"01/21/2019, 18:56:00",0.9991097669,0.9247863361,0.9937369215,0.584943516,0.5991333346
"01/21/2019, 18:58:00",0.9925212867,0.6179937351,0.3404970753,0.3741278833,0.8708372475
"01/21/2019, 19:00:00",0.9918100934,0.7957489192,0.9260096416,0.444768192,0.9921384154
"01/21/2019, 19:02:00",0.9742872773,0.6900490051,0.6353787571,0.2238117572,0.6362060469
"01/21/2019, 19:04:00",0.588591433,0.6939585389,0.6206898903,0.7770951881,0.7288986052
"01/21/2019, 19:06:00",0.9758050019,0.9019037374,0.7084380653,0.9724017803,0.7619535447
"01/21/2019, 19:08:00",0.9707995774,0.8854839038,0.9962610663,0.9941176951,0.8797154446
"01/21/2019, 19:10:00",0.7292291157,0.9221215311,0.4853138487,0.7796337437,0.5289256417
"01/21/2019, 19:12:00",0.9994026904,0.7756379813,0.4472746589,0.9939606141,0.3930170112
"01/21/2019, 19:14:00",0.9799427614,0.6319990258,0.5882328941,0.8746374982,0.9782558095
"01/21/2019, 19:16:00",0.996250912,0.8917306653,0.659981608,0.5196098106,0.3829418174
"01/21/2019, 19:18:00",0.967298341,0.761116619,0.9117142261,0.9813975746,0.6291425514
"01/21/2019, 19:20:00",0.7822161809,0.8170809385,0.8096466239,0.9098066993,0.938626384
"01/21/2019, 19:22:00",0.9735493161,0.832589975,0.6754677452,0.8403157144,0.6648985214
"01/21/2019, 19:24:00",0.9983860776,0.9320351633,0.425420651,0.9195709472,0.9828674791
"01/21/2019, 19:26:00",0.9682109545,0.9902219516,0.9953081542,0.4899095933,0.5174259046
"01/21/2019, 19:28:00",0.9739803594,0.8823870161,0.8658275827,0.9377384185,0.6391339375
"01/21/2019, 19:30:00",0.9932714012,0.8779615808,0.5705436956,0.5767166951,0.0887303766
"01/21/2019, 19:32:00",0.9513982409,0.7870618713,0.7904737122,0.7990893285,0.9656398056
"01/21/2019, 19:34:00",0.9635766517,0.9025802279,0.5800508607,0.8802735299,0.9915935225
"01/21/2019, 19:36:00",0.985590491,0.5936066599,0.8368399111,0.9947163952,0.9870092016
"01/21/2019, 19:38:00",0.9321843661,0.7435874403,0.5336952031,0.3787481802,0.9783520867
"01/21/2019, 19:40:00",0.7342982294,0.6826057554,0.7640482616,0.6873944721,0.6971576322
"01/21/2019, 19:42:00",0.9462818535,0.5302527841,0.5811052858,0.9463617812,0.9943241466
"01/21/2019, 19:44:00",0.2566819206,0.7846145084,0.8414894193,0.8419872987,0.5898041569
"01/21/2019, 19:46:00",0.9957762988,0.8024298767,0.4748092259,0.7992108083,0.9905459714
"01/21/2019, 19:48:00",0.994066192,0.7360575542,0.9862271393,0.9941925594,0.6873968628
"01/21/2019, 19:50:00",0.9878572914,0.8289418608,0.9763318625,0.928927591,0.8090657193
"01/21/2019, 19:52:00",0.9274854327,0.6606058841,0.8180186805,0.5551039511,0.9886860978
"01/21/2019, 19:54:00",0.4601072639,0.2649544189,0.4007208178,0.4337449969,0.4252170697
"01/21/2019, 19:56:00",0.6002702124,0.7452093366,0.7282736484,0.7393125422,0.7229238088
"01/21/2019, 19:58:00",0.9854637127,0.9899297276,0.4305835952,0.7909237967,0.8352854535
"01/21/2019, 20:00:00",0.966950131,0.9190450153,0.583266043,0.9960128079,0.9128288926
"01/21/2019, 20:02:00",0.977361792,0.3267951143,0.3618510081,0.9903116244,0.9306419854
"01/21/2019, 20:04:00",0.9279242365,0.6150610821,0.578367307,0.5679925204,0.7246988967
"01/21/2019, 20:06:00",0.9854950782,0.588938767,0.9927443943,0.3572613218,0.7666842592
"01/21/2019, 20:08:00",0.9958149101,0.4969825766,0.527642245,0.9912447144,0.7152636478
"01/21/2019, 20:10:00",0.8971782296,0.06083955694,0.4193021214,0.8532726498,0.4763067227
"01/21/2019, 20:12:00",0.9841543742,0.9152585645,0.4590530023,0.5288037393,0.9847530839
"01/21/2019, 20:14:00",0.9932855421,0.9091364363,0.9969428542,0.9909863037,0.4365884257
"01/21/2019, 20:16:00",0.7761526353,0.9139693242,0.9936730986,0.9859768391,0.2460648282
"01/21/2019, 20:18:00",0.9843777229,0.6465515028,0.6551054975,0.8705271258,0.8493307877
"01/21/2019, 20:20:00",0.8297494152,0.5373426578,0.8288430293,0.7877106938,0.7958767289
"01/21/2019, 20:22:00",0.9918858478,0.8801728908,0.5889230416,0.4863112681,0.9941105817
"01/21/2019, 20:24:00",0.9938364899,0.7702907573,0.997378366,0.9821300032,0.9794019404
"01/21/2019, 20:26:00",0.9798203449,0.642679909,0.910503938,0.9916619344,0.9945916178
"01/21/2019, 20:28:00",0.9716309657,0.9261136779,0.9172322784,0.9047192981,0.9947515301
"01/21/2019, 20:30:00",0.9847579265,0.8347697336,0.8506934637,0.507393844,0.8245478291
"01/21/2019, 20:32:00",0.9465788201,0.7756704409,0.5020208359,0.9675293837,0.6687019108
"01/21/2019, 20:34:00",0.9541719912,0.9700581065,0.9945786506,0.9504961523,0.9527790165
"01/21/2019, 20:36:00",0.9915347231,0.8355577891,0.9696861847,0.5077212147,0.6807521988
"01/21/2019, 20:38:00",0.9702356719,0.7669400246,0.9729102797,0.8406990522,0.846896281
"01/21/2019, 20:40:00",0.9968972654,0.5963928808,0.7830523934,0.7977784964,0.9183805487
"01/21/2019, 20:42:00",0.8989399753,0.6640810939,0.6639390597,0.9650734758,0.9805244885
"01/21/2019, 20:44:00",0.8989150421,0.8828921237,0.7223568658,0.8176703022,0.7470953833
"01/21/2019, 20:46:00",0.8976471483,0.9266233278,0.6653035514,0.5938752712,0.8943932581
"01/21/2019, 20:48:00",0.9445575143,0.8226700362,0.6709026481,0.9838155494,0.8548956215
"01/21/2019, 20:50:00",0.9218676539,0.667404242,0.07301091224,0.9209340302,0.378288443
"01/21/2019, 20:52:00",0.9943169239,0.6116526345,0.6662200991,0.6882092754,0.9667484759
"01/21/2019, 20:54:00",0.9484216976,0.8526844651,0.9381534909,0.9335071476,0.9577533548
"01/21/2019, 20:56:00",0.8872606376,0.9230257198,0.9723281091,0.8833464713,0.563894708
"01/21/2019, 20:58:00",0.9891494125,0.9550477155,0.4417972672,0.9156226095,0.9889932326
"01/21/2019, 21:00:00",0.980188364,0.9309033507,0.8710559773,0.8920619326,0.8515743288
"01/21/2019, 21:02:00",0.3936894004,0.9117443931,0.3628631491,0.7858569245,0.7021158031
"01/21/2019, 21:04:00",0.9905208762,0.978291143,0.9870514438,0.4392627517,0.9674643855
"01/21/2019, 21:06:00",0.9593223714,0.6996752997,0.5258729407,0.3922589083,0.4472887546
"01/21/2019, 21:08:00",0.773040251,0.9492781403,0.4440185642,0.4271361429,0.4444853386
"01/21/2019, 21:10:00",0.9923525713,0.5208839353,0.5305625015,0.5705207472,0.9897802622
"01/21/2019, 21:12:00",0.8579745725,0.5389496367,0.5345567578,0.9856655446,0.8919587455
"01/21/2019, 21:14:00",0.98818668,0.8074875509,0.984480288,0.9941261973,0.7309051245
"01/21/2019, 21:16:00",0.9546896551,0.8589471894,0.523019302,0.590679202,0.568527948
"01/21/2019, 21:18:00",0.9767804179,0.6223277808,0.5451178976,0.9134420589,0.9673419736
"01/21/2019, 21:20:00",0.8164021885,0.8805042222,0.9791538791,0.6276465411,0.4336581851
"01/21/2019, 21:22:00",0.9879521338,0.6503359792,0.649605801,0.9696339018,0.983755155
"01/21/2019, 21:24:00",0.9808528376,0.4417981164,0.8892806546,0.9641609578,0.9558845627
"01/21/2019, 21:26:00",0.8839617193,0.9712267542,0.9137107433,0.3748440279,0.9650712635
"01/21/2019, 21:28:00",0.9533119171,0.567984676,0.9150879253,0.9957402846,0.5192030445
"01/21/2019, 21:30:00",0.3771790881,0.6294722364,0.4262541469,0.3707899184,0.4672511789
"01/21/2019, 21:32:00",0.9758086446,0.2410642607,0.5182260697,0.9927342166,0.5364691328
"01/21/2019, 21:34:00",0.7670410848,0.6174920909,0.3350242827,0.1521124605,0.9627516149
"01/21/2019, 21:36:00",0.9672808707,0.994448284,0.8240737569,0.9903991785,0.98844466
"01/21/2019, 21:38:00",0.9978795165,0.7697730718,0.9940235098,0.9860787983,0.6485315278
"01/21/2019, 21:40:00",0.4648788849,0.7781794841,0.1807573584,0.5196465986,0.6959743795
"01/21/2019, 21:42:00",0.8758120693,0.8406757562,0.8569991341,0.6533282503,0.8402906257
"01/21/2019, 21:44:00",0.8837916764,0.756684261,0.9723172816,0.9759522364,0.7915561608
"01/21/2019, 21:46:00",0.9880841492,0.7522548723,0.9046791283,0.9943758124,0.9930297106
"01/21/2019, 21:48:00",0.997288446,0.6551988296,0.6272278751,0.9942183146,0.65309039
"01/21/2019, 21:50:00",0.9636361707,0.6895787227,0.8193615614,0.8297367652,0.8222198367
"01/21/2019, 21:52:00",0.9823368698,0.8056088681,0.7006404929,0.5289919266,0.9867408378
"01/21/2019, 21:54:00",0.9782856763,0.831630125,0.5582150584,0.4285613119,0.7792462655
"01/21/2019, 21:56:00",0.9065253767,0.6019277936,0.5461687378,0.439472435,0.7558764594
"01/21/2019, 21:58:00",0.969328326,0.8170985566,0.9674091636,0.422191278,0.3026593395
"01/21/2019, 22:00:00",0.341568286,0.8039861638,0.1826596407,0.9915646311,0.8324985214
"01/21/2019, 22:02:00",0.2579914345,0.6211352112,0.3245911281,0.8484332721,0.198164436
"01/21/2019, 22:04:00",0.9869812544,0.7701967516,0.8083947706,0.4428110005,0.2162897449
"01/21/2019, 22:06:00",0.987603107,0.8200275756,0.6085556256,0.9955901474,0.6873355464
"01/21/2019, 22:08:00",0.5180568275,0.703071559,0.7616263897,0.7761793204,0.9554466977
"01/21/2019, 22:10:00",0.9915626513,0.8602769311,0.8501243975,0.6845379245,0.9960958637
"01/21/2019, 22:12:00",0.9918305947,0.8133635908,0.9855960684,0.7999911958,0.7153057294
"01/21/2019, 22:14:00",0.9892377382,0.7780946874,0.696245263,0.4801888158,0.8058560911
"01/21/2019, 22:16:00",0.912998716,0.2347928059,0.9286285038,0.7101519688,0.1129934976
"01/21/2019, 22:18:00",0.9495090239,0.8105328484,0.7173582097,0.7936363431,0.7943615094
"01/21/2019, 22:20:00",0.9676193101,0.7954649746,0.6417303573,0.9911874541,0.9714979357
"01/21/2019, 22:22:00",0.9873313839,0.9843264783,0.9773075495,0.724744134,0.8108252992
"01/21/2019, 22:24:00",0.9847756096,0.7508198364,0.5624383315,0.7356711943,0.9798586239
"01/21/2019, 22:26:00",0.9400601398,0.893085165,0.9396973575,0.5003301278,0.6233549057
"01/21/2019, 22:28:00",0.9167505813,0.8817424121,0.6635427714,0.6504303545,0.8496413519
"01/21/2019, 22:30:00",0.9391541653,0.8404843499,0.3228922038,0.4370749143,0.5440550053
"01/21/2019, 22:32:00",0.9974589261,0.8370800648,0.3376024611,0.583581532,0.4541373132
"01/21/2019, 22:34:00",0.9962497932,0.8882377734,0.84862113,0.1428297473,0.6983678641
"01/21/2019, 22:36:00",0.9939261185,0.6439284219,0.9965435334,0.7477878523,0.7494326947
"01/21/2019, 22:38:00",0.9817081885,0.7257702394,0.7335653161,0.4160142653,0.4501285022
"01/21/2019, 22:40:00",0.7168075519,0.7035693292,0.4178295697,0.8315157992,0.4083228676
"01/21/2019, 22:42:00",0.9897947971,0.7993112438,0.5036104259,0.7283298318,0.9950351539
"01/21/2019, 22:44:00",0.6440593488,0.9053832624,0.5317270144,0.9839354783,0.7990008636
"01/21/2019, 22:46:00",0.9764307368,0.6144612119,0.9942973452,0.9941593035,0.9491358526
"01/21/2019, 22:48:00",0.9861332509,0.833252226,0.9865717981,0.777588957,0.7912372264
"01/21/2019, 22:50:00",0.49018751,0.360772581,0.2756393261,0.1537914804,0.9963402605
"01/21/2019, 22:52:00",0.9963013511,0.9146370999,0.985305898,0.5839246077,0.9865824802
"01/21/2019, 22:54:00",0.9915410248,0.8251753467,0.4686372485,0.9061650964,0.5522048793
"01/21/2019, 22:56:00",0.8468746534,0.4992514083,0.970120091,0.347538443,0.8925302482
"01/21/2019, 22:58:00",0.9900895641,0.6865597924,0.6619790561,0.9891055128,0.6668407164
"01/21/2019, 23:00:00",0.2959019998,0.9336545255,0.9467392411,0.9453141662,0.9102894583
"01/21/2019, 23:02:00",0.9875063434,0.6606265668,0.5649852171,0.8814590015,0.2510796999
"01/21/2019, 23:04:00",0.9928825174,0.9556197401,0.5885659012,0.5080106909,0.9646985564
"01/21/2019, 23:06:00",0.9877440119,0.8545471412,0.9712307093,0.9476757028,0.4108857901
"01/21/2019, 23:08:00",0.978340137,0.8591844808,0.7364915317,0.4241608683,0.993057333
"01/21/2019, 23:10:00",0.9720975413,0.08916681756,0.7514084473,0.791967549,0.487246091
"01/21/2019, 23:12:00",0.9743252942,0.9236412466,0.7431581273,0.9790885954,0.7288214904
"01/21/2019, 23:14:00",0.8675741842,0.950637432,0.4436105923,0.9953580877,0.9911166037
"01/21/2019, 23:16:00",0.9764956799,0.8439264825,0.8733696449,0.502354667,0.9739125793
"01/21/2019, 23:18:00",0.9378271988,0.79765718,0.6589091717,0.9181219002,0.339429272
"01/21/2019, 23:20:00",0.9894999363,0.6681435857,0.9438727459,0.979439972,0.6699992265
"01/21/2019, 23:22:00",0.9538749969,0.7210139183,0.7308545975,0.9615337268,0.7253702147
"01/21/2019, 23:24:00",0.9863414743,0.7617383577,0.4533117646,0.9899470875,0.4733830393
"01/21/2019, 23:26:00",0.3913905052,0.2020134931,0.2703275191,0.2680793533,0.2737226456
"01/21/2019, 23:28:00",0.978135071,0.8573049837,0.4585655356,0.9662954717,0.6689602636
"01/21/2019, 23:30:00",0.9804110642,0.6450327506,0.9941453885,0.9828498149,0.9353710633
"01/21/2019, 23:32:00",0.9909708526,0.8062248098,0.7275705297,0.9873553514,0.7016350276
"01/21/2019, 23:34:00",0.9929243796,0.5631026526,0.7786516801,0.7803251978,0.7800664196
"01/21/2019, 23:36:00",0.9863781115,0.7074873065,0.6058538962,0.9643786041,0.1229897006
"01/21/2019, 23:38:00",0.990567504,0.8274183686,0.8277429787,0.7033986548,0.6837751573
"01/21/2019, 23:40:00",0.9893650992,0.8191501471,0.8219747775,0.9736091277,0.9921588575
"01/21/2019, 23:42:00",0.9945185264,0.8425933194,0.6470397206,0.7406879869,0.6994586769
"01/21/2019, 23:44:00",0.9884907208,0.7128258216,0.4763064509,0.972759939,0.7303967275
"01/21/2019, 23:46:00",0.9922862273,0.5823975246,0.8484755181,0.5078330988,0.9857410838
"01/21/2019, 23:48:00",0.9526416376,0.4345921339,0.8468431845,0.3943127007,0.9698793352
"01/21/2019, 23:50:00",0.7175023261,0.1864113825,0.3782391522,0.7663107198,0.8051699593
"01/21/2019, 23:52:00",0.9933200776,0.5340728445,0.8170549311,0.9886948083,0.5087434295
"01/21/2019, 23:54:00",0.9788103389,0.5761575988,0.9906900626,0.9748104269,0.8828193965
